Classe terapèutica,Principi actiu,Nom Comercial,CN,Dispositiu / Presentació,Dosi recomanada,Tipus de dispositiu,Petjada CO₂,Flux inspiratori,Flux Pas 4,Informació dispositiu,Fecha de Incorporación,Origen (Link CIMA),Estado de Validación,PHF,MATMA
GCI,budesonida,"BUDESONIDA ALDO-UNION 0,5 mg/ml SUSPENSION PARA INHALACION POR NEBULIZADOR , 20 ampollas de 2 ml",651626,"BUDESONIDA ALDO-UNION 0,5 mg/ml SUSPENSION PARA INHALACION POR NEBULIZADOR , 20 ampollas de 2 ml","MPOC: 200-400 µg/12h
D.màx: 800 µg/12h
Asma baixa: 200-400 µg/24h
Asma mitjana: 401-800 µg/24h
Asma alta: 801-1.600 µg/24h",NEB,—,—,—,,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=66942,NO INCORPORAR — nebulitzador,,
GCI,budesonida,"BUDESONIDA ALDO-UNION 200 microgramos/pulsación SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN, 1 inhalador de 200 dosis",799015,"BUDESONIDA ALDO-UNION 200 microgramos/pulsación SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN, 1 inhalador de 200 dosis","MPOC: 200-400 µg/12h
D.màx: 800 µg/12h
Asma baixa: 200-400 µg/24h
Asma mitjana: 401-800 µg/24h
Asma alta: 801-1.600 µg/24h",ICP,🔴,20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=61664,NOU — PENDENT VALIDACIÓ CLÍNICA,,
SABA/SAMA,salbutamol + bromuro ipratropio,"COMBIPRASAL 0.5 mg/2.5 mg SOLUCION PARA INHALACION POR NEBULIZADOR, 20 ampollas de 2,5 ml",677602,"COMBIPRASAL 0.5 mg/2.5 mg SOLUCION PARA INHALACION POR NEBULIZADOR, 20 ampollas de 2,5 ml","MPOC: 100-200/40 µg si cal
D.màx: 200/240 µg/24h",NEB,—,—,—,,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=73561,NO INCORPORAR — nebulitzador,,
GCI,fluticasona,"FLUSONAL ACCUHALER 500 MICROGRAMOS/INHALACION, POLVO PARA INHALACION, 1 inhalador de 60 dosis",689042,"FLUSONAL ACCUHALER 500 MICROGRAMOS/INHALACION, POLVO PARA INHALACION, 1 inhalador de 60 dosis","MPOC: 250-500 µg/12h
D.màx: 500 µg/12h
Asma baixa: 100-250 µg/24h
Asma mitjana: 251-500 µg/24h
Asma alta: 501-1.000 µg/24h",IPS-multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11813,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=60530,NOU — PENDENT VALIDACIÓ CLÍNICA,,
LABA/GCI,fluticasona + formoterol,"FLUTIFORM 125 MICROGRAMOS / 5 MICROGRAMOS/ INHALACION SUPSENSION PARA INHALACION EN ENVASE A PRESION , 1 inhalador (120 pulsaciones)",701717,"FLUTIFORM 125 MICROGRAMOS / 5 MICROGRAMOS/ INHALACION SUPSENSION PARA INHALACION EN ENVASE A PRESION , 1 inhalador (120 pulsaciones)","MPOC: 5/125 µg/12h
D.màx: 5/250 µg/12h
Asma baixa: 5/100 µg/12h
Asma mitjana: 5/250 µg/12h
Asma alta: 5/500 µg/12h",ICP,🔴,20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=78536,NOU — PENDENT VALIDACIÓ CLÍNICA,,
LABA/GCI,fluticasona + formoterol,"FLUTIFORM 250 MICROGRAMOS / 10 MICROGRAMOS/ INHALACION  SUSPENSION PARA INHALACION EN ENVASE A PRESION , 1 inhalador ( 120 pulsaciones)",701718,"FLUTIFORM 250 MICROGRAMOS / 10 MICROGRAMOS/ INHALACION  SUSPENSION PARA INHALACION EN ENVASE A PRESION , 1 inhalador ( 120 pulsaciones)","MPOC: 5/125 µg/12h
D.màx: 5/250 µg/12h
Asma baixa: 5/100 µg/12h
Asma mitjana: 5/250 µg/12h
Asma alta: 5/500 µg/12h",ICP,🔴,20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=78537,NOU — PENDENT VALIDACIÓ CLÍNICA,,
LABA/GCI,fluticasona + formoterol,"FLUTIFORM 50 MICROGRAMOS / 5 MICROGRAMOS/ INHALACION SUSPENSION PARA INHALACION EN ENVASE A PRESION , 1 inhalador (120 pulsaciones)",701719,"FLUTIFORM 50 MICROGRAMOS / 5 MICROGRAMOS/ INHALACION SUSPENSION PARA INHALACION EN ENVASE A PRESION , 1 inhalador (120 pulsaciones)","MPOC: 5/125 µg/12h
D.màx: 5/250 µg/12h
Asma baixa: 5/100 µg/12h
Asma mitjana: 5/250 µg/12h
Asma alta: 5/500 µg/12h",ICP,🔴,20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=78538,NOU — PENDENT VALIDACIÓ CLÍNICA,,
GCI,fluticasona,"INALACOR ACCUHALER 500 MICROGRAMOS/INHALACIÓN POLVO PARA INHALACIÓN, 1 inhalador + 60 alveolos",686097,"INALACOR ACCUHALER 500 MICROGRAMOS/INHALACIÓN POLVO PARA INHALACIÓN, 1 inhalador + 60 alveolos","MPOC: 250-500 µg/12h
D.màx: 500 µg/12h
Asma baixa: 100-250 µg/24h
Asma mitjana: 251-500 µg/24h
Asma alta: 501-1.000 µg/24h",IPS-multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11813,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=60691,NOU — PENDENT VALIDACIÓ CLÍNICA,,
GCI,fluticasona,"INALACOR 250 MICROGRAMOS/INHALACIÓN SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN, 1 inhalador + 1 cartucho de 120 dosis",686154,"INALACOR 250 MICROGRAMOS/INHALACIÓN SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN, 1 inhalador + 1 cartucho de 120 dosis","MPOC: 250-500 µg/12h
D.màx: 500 µg/12h
Asma baixa: 100-250 µg/24h
Asma mitjana: 251-500 µg/24h
Asma alta: 501-1.000 µg/24h",ICP,🔴,20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=60688,NOU — PENDENT VALIDACIÓ CLÍNICA,,
LABA,formoterol,"OXIS TURBUHALER  4,5 microgramos/INHALACION POLVO PARA INHALACION , 1 inhalador de 60 dosis",668871,"OXIS TURBUHALER  4,5 microgramos/INHALACION POLVO PARA INHALACION , 1 inhalador de 60 dosis","MPOC: 12 µg/12h
D.màx: 24 µg/12h",IPS-multi,🟢,50-60 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11893,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=61666,NOU — PENDENT VALIDACIÓ CLÍNICA,★,
GCI,budesonida,"PULMICORT 0,25 mg/ml SUSPENSION PARA INHALACION POR  NEBULIZADOR, 5 ampollas de 2 ml",901199,"PULMICORT 0,25 mg/ml SUSPENSION PARA INHALACION POR  NEBULIZADOR, 5 ampollas de 2 ml","MPOC: 200-400 µg/12h
D.màx: 800 µg/12h
Asma baixa: 200-400 µg/24h
Asma mitjana: 401-800 µg/24h
Asma alta: 801-1.600 µg/24h",NEB,—,—,—,,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=59298,NO INCORPORAR — nebulitzador,,
GCI,budesonida,"PULMICORT 0,50 mg/ml SUSPENSION PARA INHALACION POR NEBULIZADOR, 5 ampollas de 2 ml",901082,"PULMICORT 0,50 mg/ml SUSPENSION PARA INHALACION POR NEBULIZADOR, 5 ampollas de 2 ml","MPOC: 200-400 µg/12h
D.màx: 800 µg/12h
Asma baixa: 200-400 µg/24h
Asma mitjana: 401-800 µg/24h
Asma alta: 801-1.600 µg/24h",NEB,—,—,—,,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=59297,NO INCORPORAR — nebulitzador,,
SABA,salbutamol,"SALBUAIR 2.5 mg SOLUCION PARA INHALACION POR NEBULIZADOR , 60 ampollas de 2,5 ml",677362,"SALBUAIR 2.5 mg SOLUCION PARA INHALACION POR NEBULIZADOR , 60 ampollas de 2,5 ml","MPOC: 100-200 µg si cal
D.màx: 200 µg/6h",NEB,—,—,—,,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=73563,NO INCORPORAR — nebulitzador,★,
SABA,salbutamol,"SALBUAIR 5 mg SOLUCION PARA INHALACION POR NEBULIZADOR, 60 ampollas de 2,5 ml",677363,"SALBUAIR 5 mg SOLUCION PARA INHALACION POR NEBULIZADOR, 60 ampollas de 2,5 ml","MPOC: 100-200 µg si cal
D.màx: 200 µg/6h",NEB,—,—,—,,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=73562,NO INCORPORAR — nebulitzador,★,
SABA,salbutamol,SALBUTAMOL ALDO-UNION 100 microgramos/dosis SUSPENSION PARA INHALACION EN ENVASE A PRESION  20 inhaladores de 200 dosis,607323,SALBUTAMOL ALDO-UNION 100 microgramos/dosis SUSPENSION PARA INHALACION EN ENVASE A PRESION  20 inhaladores de 200 dosis,"MPOC: 100-200 µg si cal
D.màx: 200 µg/6h",ICP,🔴,20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,Tue May 19 2026 00:00:00 GMT+0200 (hora de verano de Europa central),https://cima.aemps.es/cima/publico/medicamento.html?nregistro=65850,NOU — PENDENT VALIDACIÓ CLÍNICA,★,
